[20190503_001757 / libfx_2.py:6507]
file(this)	data.[Sec_1_A12_Detect].[dp-mountain~list].(20190503_001459).dat
pair	AUDJPY
timeframe	M15
source	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
start	2019.04.10 02:45
end	2019.04.24 12:30
ratioOf_TS	0.300
lenOf_LO_BDs	1000

------------------------------
s.n.	BD.start	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.anchor	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.end(curr)	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	
84	2019.04.18 08:00	597	80.301	80.336	80.404	80.356	80.308	80.260	80.211	2019.04.18 09:30	603	80.399	80.404	80.419	80.378	80.337	80.297	80.256	2019.04.18 10:00	605	80.395	80.356	80.419	80.383	80.348	80.312	80.277
85	2019.04.18 10:15	606	80.360	80.368	80.420	80.384	80.349	80.313	80.277	2019.04.18 10:15	606	80.360	80.368	80.420	80.384	80.349	80.313	80.277	2019.04.18 10:30	607	80.369	80.265	80.424	80.384	80.344	80.304	80.264
86	2019.04.18 11:15	610	80.095	80.097	80.480	80.394	80.309	80.223	80.137	2019.04.18 11:45	612	80.134	80.139	80.495	80.394	80.294	80.193	80.093	2019.04.18 12:00	613	80.140	80.090	80.501	80.392	80.282	80.173	80.063
87	2019.04.18 12:30	615	80.059	80.084	80.505	80.381	80.256	80.132	80.007	2019.04.18 13:45	620	80.114	80.122	80.456	80.327	80.198	80.069	79.941	2019.04.18 14:30	623	80.120	80.092	80.359	80.257	80.156	80.054	79.952
88	2019.04.18 14:45	624	80.093	80.095	80.312	80.226	80.140	80.055	79.969	2019.04.18 14:45	624	80.093	80.095	80.312	80.226	80.140	80.055	79.969	2019.04.18 15:00	625	80.095	80.060	80.269	80.197	80.126	80.054	79.982
89	2019.04.18 15:30	627	80.044	80.101	80.164	80.133	80.101	80.070	80.038	2019.04.18 16:15	630	80.118	80.125	80.148	80.123	80.099	80.074	80.050	2019.04.18 16:45	632	80.116	80.081	80.140	80.117	80.095	80.073	80.051
90	2019.04.18 17:45	636	79.976	79.992	80.169	80.125	80.081	80.037	79.992	2019.04.18 18:45	640	80.011	80.012	80.160	80.110	80.061	80.011	79.962	2019.04.18 19:00	641	80.011	79.959	80.158	80.106	80.053	80.000	79.948
91	2019.04.18 19:15	642	79.958	79.964	80.153	80.099	80.045	79.991	79.938	2019.04.18 19:15	642	79.958	79.964	80.153	80.099	80.045	79.991	79.938	2019.04.18 19:30	643	79.964	79.954	80.151	80.095	80.038	79.982	79.926
92	2019.04.18 20:00	645	79.918	79.930	80.150	80.087	80.023	79.959	79.896	2019.04.18 20:15	646	79.930	79.956	80.149	80.084	80.019	79.953	79.888	2019.04.18 20:30	647	79.958	79.936	80.140	80.075	80.010	79.946	79.881
93	2019.04.18 20:45	648	79.937	79.953	80.129	80.066	80.003	79.941	79.878	2019.04.18 22:15	654	79.998	80.004	80.029	80.001	79.973	79.945	79.917	2019.04.18 22:45	656	79.986	79.975	80.028	80.000	79.973	79.945	79.917
