[20190228_134909 / views.py:10271]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190228_134908.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190228_134909 / views.py:10280]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_1S
245	2019.01.30 13:45	2019.01.30 14:00	125.089	125.163	125.051
246	2019.01.30 15:15	2019.01.30 15:30	125.139	125.181	125.110
247	2019.01.30 15:30	2019.01.30 15:45	125.181	125.190	125.123
248	2019.01.30 17:15	2019.01.30 17:30	125.156	125.177	125.175
249	2019.01.30 17:30	2019.01.30 17:45	125.177	125.200	125.181
250	2019.01.30 22:45	2019.01.30 23:00	125.081	125.139	125.182
251	2019.01.30 23:00	2019.01.30 23:15	125.139	125.163	125.177
252	2019.01.29 01:15	2019.01.29 01:30	124.897	124.935	124.983
253	2019.01.29 03:30	2019.01.29 03:45	124.738	124.745	124.964
254	2019.01.29 03:45	2019.01.29 04:00	124.745	124.779	124.952
255	2019.01.29 04:00	2019.01.29 04:15	124.779	124.816	124.939
256	2019.01.29 05:45	2019.01.29 06:00	124.843	124.856	124.888
257	2019.01.29 06:00	2019.01.29 06:15	124.856	124.878	124.885
258	2019.01.29 06:15	2019.01.29 06:30	124.878	124.897	124.883
259	2019.01.29 06:30	2019.01.29 06:45	124.897	124.914	124.878
260	2019.01.29 06:45	2019.01.29 07:00	124.914	124.932	124.882
261	2019.01.29 07:30	2019.01.29 07:45	124.947	124.981	124.898
262	2019.01.29 07:45	2019.01.29 08:00	124.981	124.995	124.914
263	2019.01.29 10:00	2019.01.29 10:15	124.953	125.004	124.975
264	2019.01.29 10:15	2019.01.29 10:30	125.004	125.110	124.983
265	2019.01.29 11:00	2019.01.29 11:15	125.138	125.210	125.039
266	2019.01.29 11:15	2019.01.29 11:30	125.210	125.221	125.070
267	2019.01.29 13:30	2019.01.29 13:45	125.138	125.171	125.201
268	2019.01.29 18:00	2019.01.29 18:15	124.830	124.896	125.121
269	2019.01.29 18:15	2019.01.29 18:30	124.896	124.972	125.113
270	2019.01.29 19:00	2019.01.29 19:15	124.985	124.991	125.066
271	2019.01.29 20:15	2019.01.29 20:30	124.978	124.989	125.034
272	2019.01.29 20:30	2019.01.29 20:45	124.989	124.995	125.029
273	2019.01.29 22:30	2019.01.29 22:45	124.999	125.015	125.008
274	2019.01.29 22:45	2019.01.29 23:00	125.015	125.047	125.009
275	2019.01.28 00:00	2019.01.28 00:15	124.890	124.976	125.202
276	2019.01.28 00:45	2019.01.28 01:00	124.970	125.030	125.156
277	2019.01.28 03:00	2019.01.28 03:15	124.750	124.766	125.016
278	2019.01.28 03:15	2019.01.28 03:30	124.766	124.862	125.000
279	2019.01.28 03:30	2019.01.28 03:45	124.862	124.900	124.985
280	2019.01.28 05:00	2019.01.28 05:15	124.804	124.833	124.950
281	2019.01.28 05:15	2019.01.28 05:30	124.833	124.880	124.939
282	2019.01.28 05:30	2019.01.28 05:45	124.880	124.888	124.931
283	2019.01.28 05:45	2019.01.28 06:00	124.888	124.910	124.923
284	2019.01.28 06:00	2019.01.28 06:15	124.910	124.948	124.906
285	2019.01.28 06:15	2019.01.28 06:30	124.948	124.963	124.902
286	2019.01.28 08:45	2019.01.28 09:00	124.713	124.740	124.913
287	2019.01.28 09:00	2019.01.28 09:15	124.740	124.762	124.906
288	2019.01.28 11:30	2019.01.28 11:45	124.736	124.797	124.824
289	2019.01.28 11:45	2019.01.28 12:00	124.797	124.813	124.808
290	2019.01.28 12:00	2019.01.28 12:15	124.813	124.873	124.794
291	2019.01.28 12:15	2019.01.28 12:30	124.873	124.931	124.793
292	2019.01.28 16:30	2019.01.28 16:45	124.764	124.839	124.972
293	2019.01.28 16:45	2019.01.28 17:00	124.839	124.891	124.971
294	2019.01.28 17:00	2019.01.28 17:15	124.891	124.926	124.972
295	2019.01.28 17:15	2019.01.28 17:30	124.926	124.973	124.974
296	2019.01.28 18:00	2019.01.28 18:15	124.971	124.989	124.978
297	2019.01.28 19:15	2019.01.28 19:30	124.913	124.942	124.972
298	2019.01.28 20:00	2019.01.28 20:15	124.940	124.943	124.969
