[20190209_144139 / views.py:6892]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-42.[tester-1].20190209_143838.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190209_143838
margin_SL=	0.020	margin_TP=	0.040	spread=	0.010

'============== SL ==============
s.n.	e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff	diff of idx
32	10573	899	2019.01.23 15:09	910	2019.01.23 15:20	124.689	124.731	0.042	11
33	10546	933	2019.01.23 15:43	937	2019.01.23 15:47	124.653	124.696	0.043	4
34	10537	942	2019.01.23 15:52	946	2019.01.23 15:56	124.710	124.767	0.057	4
35	10525	954	2019.01.23 16:04	958	2019.01.23 16:08	124.747	124.832	0.085	4
36	10498	984	2019.01.23 16:34	985	2019.01.23 16:35	124.841	124.901	0.060	1
37	10484	993	2019.01.23 16:43	999	2019.01.23 16:49	124.863	124.904	0.041	6
38	10447	1034	2019.01.23 17:24	1036	2019.01.23 17:26	124.767	124.816	0.049	2
39	10436	1043	2019.01.23 17:33	1047	2019.01.23 17:37	124.802	124.928	0.126	4
40	10402	1080	2019.01.23 18:10	1081	2019.01.23 18:11	124.796	124.841	0.045	1
41	10352	1129	2019.01.23 18:59	1131	2019.01.23 19:01	124.629	124.690	0.061	2
42	10329	1148	2019.01.23 19:18	1154	2019.01.23 19:24	124.668	124.725	0.057	6
43	10278	1197	2019.01.23 20:07	1205	2019.01.23 20:15	124.686	124.731	0.045	8
44	10261	1206	2019.01.23 20:16	1222	2019.01.23 20:32	124.739	124.794	0.055	16
45	10231	1250	2019.01.23 21:00	1252	2019.01.23 21:02	124.768	124.809	0.041	2
46	10182	1297	2019.01.23 21:47	1301	2019.01.23 21:51	124.716	124.760	0.044	4
					2.473


