Pair=USDJPY;Period=M15;Days=9000;Shift=1;Bars=9000;Time=20181208_065354
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local;s.n.
2482;112.735;112.822;112.716;112.794;57.42248487487241;51.47505503450967;112.7629999357329;112.7143749678666;112.6657500000003;112.617125032134;112.5685000642677;0.0589999999999975;0.1060000000000088;2018.11.02 03:00;2018.11.02 10:00;84
2483;112.644;112.737;112.643;112.734;53.27038187011751;42.97144284365262;112.7369754151878;112.6982127075941;112.6594500000003;112.6206872924065;112.5819245848128;0.0899999999999892;0.09399999999999409;2018.11.02 02:45;2018.11.02 09:45;85
2484;112.658;112.658;112.64;112.644;45.72860546504991;43.47681007786084;112.7311996580022;112.6946498290012;112.6581000000003;112.6215501709993;112.5850003419984;-0.01399999999999579;0.01800000000000068;2018.11.02 02:30;2018.11.02 09:30;86
2485;112.654;112.675;112.653;112.661;47.09244306390099;47.95784553231653;112.7347334156566;112.6976167078284;112.6605000000003;112.6233832921722;112.586266584344;0.007000000000005002;0.02199999999999136;2018.11.02 02:15;2018.11.02 09:15;87
2486;112.647;112.66;112.625;112.655;46.55802250633597;48.50589904464858;112.736698933326;112.6991994666632;112.6617000000003;112.6242005333374;112.5867010666746;0.007999999999995566;0.03499999999999659;2018.11.02 02:00;2018.11.02 09:00;88
2487;112.608;112.651;112.597;112.647;45.86539010943291;44.73280729968967;112.7366772261075;112.6985636130539;112.6604500000003;112.6223363869467;112.5842227738931;0.03900000000000148;0.05400000000000205;2018.11.02 01:45;2018.11.02 08:45;89
2488;112.561;112.631;112.56;112.61;42.59655047708009;46.90878195059594;112.7374063155274;112.6994031577638;112.6614000000003;112.6233968422368;112.5853936844732;0.04899999999999238;0.07099999999999795;2018.11.02 01:30;2018.11.02 08:30;90
2489;112.592;112.6;112.559;112.561;37.87713701579932;48.39190407334056;112.7361390724802;112.6999945362402;112.6638500000003;112.6277054637604;112.5915609275204;-0.0309999999999917;0.04099999999999682;2018.11.02 01:15;2018.11.02 08:15;91
2490;112.65;112.657;112.573;112.594;39.98011915985283;47.89168394867414;112.7245943010267;112.6959721505135;112.6673500000003;112.6387278494871;112.6101056989739;-0.0560000000000116;0.08400000000000318;2018.11.02 01:00;2018.11.02 08:00;92
2491;112.671;112.673;112.644;112.65;43.91039942120666;48.6628723445828;112.7172192433303;112.6939596216653;112.6707000000003;112.6474403783353;112.6241807566702;-0.0210000000000008;0.02899999999999636;2018.11.02 00:45;2018.11.02 07:45;93
2492;112.657;112.675;112.64;112.671;45.50401675033953;50.89457869896091;112.7258049705197;112.70015248526;112.6745000000003;112.6488475147406;112.6231950294808;0.01400000000001;0.03499999999999659;2018.11.02 00:30;2018.11.02 07:30;94
2493;112.664;112.677;112.645;112.658;44.31551863323341;48.71790748853784;112.7410873884602;112.7099186942302;112.6787500000003;112.6475813057703;112.6164126115404;-0.006000000000000227;0.03200000000001069;2018.11.02 00:15;2018.11.02 07:15;95
2494;112.698;112.704;112.659;112.666;44.88783064678795;46.82729269627163;112.743079494615;112.7119647473076;112.6808500000003;112.6497352526929;112.6186205053856;-0.03199999999999648;0.04499999999998749;2018.11.02 00:00;2018.11.02 07:00;96
