[20190307_154009 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190307_151905).20190307_144106.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-H1).(20190307_154007).csv
pair	EURJPY
timeframe	H1
start	2017.10.23 07:00
end	2019.03.07 07:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190307_154009 / views.py:11613]
199	2018.05.30 00:00	2018.05.30 23:00	24	10	5	5	3	0.417	0.208	0.208	0.125
200	2018.05.29 00:00	2018.05.29 23:00	24	8	4	4	7	0.333	0.167	0.167	0.292
201	2018.05.28 00:00	2018.05.28 23:00	24	7	4	3	9	0.292	0.167	0.125	0.375
202	2018.05.25 00:00	2018.05.25 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
203	2018.05.24 00:00	2018.05.24 23:00	24	4	6	6	7	0.167	0.250	0.250	0.292
204	2018.05.23 00:00	2018.05.23 23:00	24	1	8	7	7	0.042	0.333	0.292	0.292
205	2018.05.22 00:00	2018.05.22 23:00	24	4	7	6	6	0.167	0.292	0.250	0.250
206	2018.05.21 00:00	2018.05.21 23:00	24	7	6	7	3	0.292	0.250	0.292	0.125
207	2018.05.18 00:00	2018.05.18 23:00	24	4	5	5	9	0.167	0.208	0.208	0.375
208	2018.05.17 00:00	2018.05.17 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
209	2018.05.16 00:00	2018.05.16 23:00	24	3	7	8	5	0.125	0.292	0.333	0.208
210	2018.05.15 00:00	2018.05.15 23:00	24	5	6	5	7	0.208	0.250	0.208	0.292
211	2018.05.14 00:00	2018.05.14 23:00	24	9	6	5	3	0.375	0.250	0.208	0.125
212	2018.05.11 00:00	2018.05.11 23:00	24	10	6	6	1	0.417	0.250	0.250	0.042
213	2018.05.10 00:00	2018.05.10 23:00	24	9	6	5	3	0.375	0.250	0.208	0.125
214	2018.05.09 00:00	2018.05.09 23:00	24	7	7	8	1	0.292	0.292	0.333	0.042
215	2018.05.08 00:00	2018.05.08 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
216	2018.05.07 00:00	2018.05.07 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
217	2018.05.04 00:00	2018.05.04 23:00	24	2	6	7	8	0.083	0.250	0.292	0.333
218	2018.05.03 00:00	2018.05.03 23:00	24	8	5	5	5	0.333	0.208	0.208	0.208
219	2018.05.02 00:00	2018.05.02 23:00	24	2	8	9	4	0.083	0.333	0.375	0.167
220	2018.05.01 00:00	2018.05.01 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
221	2018.04.30 00:00	2018.04.30 23:00	24	4	8	8	3	0.167	0.333	0.333	0.125
222	2018.04.27 00:00	2018.04.27 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
223	2018.04.26 00:00	2018.04.26 23:00	24	1	6	6	10	0.042	0.250	0.250	0.417
224	2018.04.25 00:00	2018.04.25 23:00	24	4	8	7	4	0.167	0.333	0.292	0.167
225	2018.04.24 00:00	2018.04.24 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
226	2018.04.23 00:00	2018.04.23 23:00	24	5	8	7	3	0.208	0.333	0.292	0.125
227	2018.04.20 00:00	2018.04.20 23:00	24	5	4	4	10	0.208	0.167	0.167	0.417
228	2018.04.19 00:00	2018.04.19 23:00	24	8	5	5	5	0.333	0.208	0.208	0.208
229	2018.04.18 00:00	2018.04.18 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
230	2018.04.17 00:00	2018.04.17 23:00	24	4	7	6	6	0.167	0.292	0.250	0.250
231	2018.04.16 00:00	2018.04.16 23:00	24	10	4	4	5	0.417	0.167	0.167	0.208
232	2018.04.13 00:00	2018.04.13 23:00	24	8	4	4	5	0.333	0.167	0.167	0.208
